place,best_time,avoid_time,peak_season,average_crowd,nearby_attractions
Shaniwar Wada,Early Morning (7-9 AM),Afternoon (12-3 PM),Oct-Mar,High,"Dagdusheth Ganpati, Raja Dinkar Kelkar Museum, Pataleshwar Cave"
Aga Khan Palace,Morning (8-11 AM),Afternoon (12-3 PM),Oct-Mar,Medium,"Osho Teerth Park, Bund Garden, Koregaon Park"
Sinhagad Fort,Early Morning (6-9 AM),Afternoon (12-3 PM),Jun-Feb,High,"Khadakwasla Dam, Panshet Dam, Torna Fort"
Pataleshwar Cave Temple,Morning (8-10 AM),Evening (6-8 PM),Oct-Mar,Medium,"Shaniwar Wada, JM Road, FC Road"
Raja Dinkar Kelkar Museum,Morning (9-11 AM),Afternoon (1-4 PM),Oct-Mar,Medium,"Shaniwar Wada, Dagdusheth Ganpati, Vishrambaug Wada"
Dagdusheth Halwai Ganpati Temple,Early Morning (6-8 AM),Evening (6-9 PM),All Year,High,"Shaniwar Wada, Tulshibaug Market, Laxmi Road"
Parvati Hill Temple,Early Morning (6-9 AM),Evening (5-7 PM),Oct-Feb,Medium,"Sarasbaug, Katraj Zoo, Pune City View Point"
Pashan Lake,Early Morning (6-8 AM),Evening (5-7 PM),All Year,Low,"Baner Hills, Vetal Tekdi, Aundh"
Okayama Friendship Garden,Morning (8-10 AM),Afternoon (12-3 PM),Oct-Mar,Medium,"Mukund Nagar, Sarasbaug, Pune Camp"
Empress Botanical Garden,Morning (8-11 AM),Afternoon (1-4 PM),Oct-Mar,Low,"Pune Race Course, Camp Area, Koregaon Park"
National War Memorial Southern Command,Morning (9-11 AM),Afternoon (12-3 PM),All Year,Low,"Empress Garden, Camp Area, MG Road"
Shinde Chhatri,Morning (9-11 AM),Afternoon (1-4 PM),Oct-Mar,Low,"Wanowrie, Hadapsar, Pune Camp"
Khadakwasla Dam,Early Morning (6-9 AM),Evening (5-7 PM),Jul-Sep,High,"Sinhagad Fort, Peacock Bay, NDA Hills"
Peacock Bay,Morning (7-10 AM),Evening (5-7 PM),Oct-Feb,Low,"Khadakwasla Dam, NDA Campus, Sinhagad Fort"
Bund Garden,Morning (7-10 AM),Evening (5-7 PM),All Year,Medium,"Aga Khan Palace, Koregaon Park, Osho Teerth Park"
Osho Teerth Park,Early Morning (6-8 AM),Evening (5-7 PM),All Year,Low,"Osho Ashram, Koregaon Park, Bund Garden"
Vetal Tekdi,Early Morning (6-9 AM),Afternoon (12-3 PM),Oct-Feb,Medium,"Pashan Lake, Baner Hills, Aundh"
Paragliding at Kamshet,Morning (7-10 AM),Afternoon (12-3 PM),Oct-May,High,"Pawna Lake, Lonavala, Karla Caves"
Lavasa,Morning (8-11 AM),Weekend Afternoons,Oct-Feb,Medium,"Mulshi Lake, Temghar Dam, Tamhini Ghat"
Rajiv Gandhi Zoological Park,Morning (9-11 AM),Afternoon (12-3 PM),Oct-Mar,Medium,"Katran Zoo, Parvati Hill, Pune City View"
ISKCON NVCC Temple,Early Morning (6-8 AM),Evening (6-9 PM),All Year,High,"Parvati Hill, Sarasbaug, Pune Camp"
Balewadi High Street,Evening (6-9 PM),Afternoon (1-4 PM),All Year,High,"Baner, Hinjewadi, Aundh"
Koregaon Park Lane 7,Evening (7-10 PM),Afternoon (1-4 PM),All Year,High,"Osho Ashram, Bund Garden, Aga Khan Palace"
FC Road,Evening (6-9 PM),Afternoon (1-4 PM),All Year,High,"JM Road, Shivajinagar, Deccan Gymkhana"
JM Road,Evening (6-9 PM),Afternoon (1-4 PM),All Year,High,"FC Road, Shivajinagar, Shaniwar Wada"
Patil Wada Vishrambaug Wada,Morning (9-11 AM),Afternoon (12-3 PM),Oct-Mar,Low,"Shaniwar Wada, Raja Dinkar Kelkar Museum, FC Road"
Khunya Murlidhar Temple,Early Morning (6-8 AM),Evening (6-8 PM),All Year,Medium,"Tulshibaug, Dagdusheth Ganpati, Shaniwar Wada"
Chatushringi Temple,Early Morning (6-9 AM),Evening (6-9 PM),All Year,High,"University Circle, Baner Road, Aundh"
Baner Pashan Biodiversity Park,Morning (7-10 AM),Afternoon (12-3 PM),All Year,Low,"Pashan Lake, Baner Hills, Aundh"
Gram Sanskruti Udyan Village Park,Morning (9-11 AM),Afternoon (12-3 PM),Oct-Mar,Low,"Parvati Hill, Pune Camp, Sarasbaug"
Blades of Glory Cricket Museum,Morning (10-12 AM),Afternoon (2-4 PM),All Year,Low,"Balewadi Stadium, Baner, Aundh"
Shivneri Fort (Near Pune),Early Morning (6-9 AM),Afternoon (12-3 PM),Oct-Feb,High,"Junnar, Lenyadri Caves, Naneghat"
Lonavala Tiger Point,Early Morning (6-9 AM),Afternoon (12-3 PM),Jul-Sep,High,"Bhushi Dam, Lion's Point, Rajmachi"
Bhushi Dam (Lonavala),Morning (7-10 AM),Afternoon (12-4 PM),Jul-Sep,High,"Lion's Point, Tiger Point, Lonavala Market"
Karla Caves (Lonavala),Morning (8-11 AM),Afternoon (12-3 PM),Oct-Mar,Medium,"Bhaja Caves, Lonavala Lake, Ekvira Temple"
Bedse Caves (Maval),Morning (8-11 AM),Afternoon (12-3 PM),Oct-Mar,Low,"Pawna Lake, Lohagad Fort, Visapur Fort"
Pawna Lake,Evening (5-7 PM),Afternoon (12-3 PM),Oct-Feb,Medium,"Kamshet, Tikona Fort, Lohagad Fort"
Mulshi Lake and Dam,Morning (7-10 AM),Afternoon (12-3 PM),Oct-Feb,Low,"Tamhini Ghat, Lavasa, Temghar Dam"
Bhandardara (Day Trip),Early Morning (6-9 AM),Afternoon (12-3 PM),Aug-Jan,Medium,"Arthur Lake, Wilson Dam, Randha Falls"
